Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
62 -  COMMUNITY DEVELOPMENT,62448 - CHILD CARE SERVICES,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(19,460)"," 	(19,610)"," 	(27,188)"," 	(19,490)"
62 -  COMMUNITY DEVELOPMENT,62331 - NBRHD CTRS AND CMTY GARDENS GF,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(18,457)"," 	(18,605)"," 	(18,791)"," 	(19,186)"
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58184 - ID BILLING TO STORMWATER," 	(18,145)"," 	(18,180)"," 	(18,180)"," 	(18,900)"
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(18,057)"," 	(38,957)"," 	(5,684)"," 	(41,626)"
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING," 	(17,999)"," 	(3,843)", 	-   , 	-   
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS," 	(17,715)"," 	(24,148)"," 	(27,588)"," 	(24,153)"
45 -  TRAFFIC ENGINEERING,45101 - TE SIGNING ADMIN,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(17,453)"," 	(22,125)"," 	(30,009)"," 	(25,211)"
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,58 - INTER DEPART BILLING,58183 - ID BILLING TO SEWER," 	(17,247)"," 	(4,438)"," 	(6,589)", 	-   
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(16,651)"," 	(20,000)"," 	(3,137)"," 	(3,500)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58164 - ID BILLING TO OFFICE OF DIR PL," 	(16,245)"," 	(16,245)"," 	(16,245)"," 	(16,245)"
50 -  LIBRARY,50100755 - LIB PUBLIC SERVICE MEADOWRIDGE,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(15,975)", 	(20)," 	(1,025)", 	(325)
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(15,839)"," 	(8,983)"," 	(3,000)", 	-   
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58183 - ID BILLING TO SEWER," 	(15,726)"," 	(15,726)"," 	(15,726)"," 	(16,380)"
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(15,387)", 	-   ," 	(61,336)"," 	(26,270)"
15 -  FINANCE,15100 - FIN ACCOUNTING,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(15,241)"," 	(15,000)"," 	(15,000)"," 	(15,000)"
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58151 - ID BILLING TO PARKS," 	(15,053)", 	-   , 	-   , 	-   
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(14,621)"," 	(4,260)"," 	(2,208)"," 	(3,869)"
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58181 - ID BILLING TO GOLF COURSES," 	(14,520)"," 	(15,756)"," 	(19,392)"," 	(20,160)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58151 - ID BILLING TO PARKS," 	(14,111)"," 	(14,111)"," 	(14,111)"," 	(14,111)"
30 -  FIRE,30260 - FIRE COMMUNITY EDUCATION,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(13,200)"," 	(19,725)"," 	(21,345)"," 	(3,650)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58132 - ID BILLING TO PUBLIC HEALTH M," 	(13,130)"," 	(13,130)"," 	(13,130)"," 	(13,130)"
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,58 - INTER DEPART BILLING,58184 - ID BILLING TO STORMWATER," 	(12,370)"," 	(5,485)"," 	(5,206)", 	-   
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS," 	(11,663)", 	-   , 	-   , 	-   
50 -  LIBRARY,50100757 - LIB PUBLIC SERVICE PINNEY,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(11,652)", 	(200)," 	(2,540)", 	(190)
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(11,556)"," 	(19,411)"," 	(19,720)"," 	(15,524)"
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS," 	(11,158)", 	-   , 	-   , 	-   
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58142 - ID BILLING TO LANDFILL," 	(11,148)"," 	(11,148)"," 	(11,148)"," 	(11,148)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58140 - ID BILLING TO ENGINEERING," 	(10,851)"," 	(9,810)"," 	(8,734)"," 	(6,307)"
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(10,528)"," 	(14,898)"," 	(12,130)"," 	(11,433)"
65 -  PLANNING,65112 - PL MADISON ARTS PROGRAM,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING," 	(10,510)"," 	(10,510)", 	-   , 	-   
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Revenue,44 - LICENSES AND PERMITS,44290 - OTHER PERMITS," 	(10,357)"," 	(11,385)"," 	(11,781)"," 	(7,912)"
50 -  LIBRARY,50200 - LIB COMM ENGAGE,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(10,014)"," 	(10,660)"," 	(10,901)", 	-   
50 -  LIBRARY,50223755 - LIB COMM ENGAGE ADULT MEA,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(10,000)"," 	(4,233)"," 	(5,000)", 	-   
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58140 - ID BILLING TO ENGINEERING," 	(9,837)"," 	(9,837)"," 	(13,080)"," 	(13,080)"
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(9,719)"," 	1,636 "," 	(5,726)"," 	(3,182)"
51 -  PARKS,51110 - PARK COM REC ADMIN,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(9,324)"," 	(38,573)"," 	(161,312)"," 	(156,827)"
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(9,121)", 	-   , 	(450), 	-   
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING," 	(8,821)"," 	(38,906)"," 	(36,828)"," 	(9,099)"
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING," 	(8,679)"," 	(4,110)"," 	(13,360)"," 	(4,573)"
51 -  PARKS,51242 - PARK MTC WEST PARKS,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(8,675)"," 	(8,872)", 	-   , 	-   
30 -  FIRE,30110723 - FIRE GEN FIELD OP EMS TRAINING,Revenue,42 - INTERGOV REVENUES,42216 - PAYMENT FOR MUNICIPAL SERVICE," 	(8,450)"," 	(13,500)"," 	(13,575)"," 	(14,300)"
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(8,234)"," 	(9,774)"," 	(18,120)"," 	(2,625)"
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(7,958)"," 	(4,321)"," 	(4,330)"," 	(2,560)"
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Revenue,43 - CHARGES FOR SERVICES,43430 - TRAFFIC PRIVATE ENTITY," 	(7,912)"," 	(39,483)"," 	(30,789)"," 	(20,191)"
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(7,800)"," 	(65,671)", 	-   , 	-   
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC," 	(7,735)"," 	(20,795)"," 	(25,786)"," 	(25,428)"
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,43 - CHARGES FOR SERVICES,43420 - APPLIANCE COLLECTION," 	(7,475)"," 	(11,878)", 	(325), 	-   
50 -  LIBRARY,50100759 - LIB PUBLIC SERVICE SMB,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(7,202)", 	(240)," 	(1,165)", 	(130)
30 -  FIRE,30251 - FIRE INSPECTION TANK PROGRAM,Revenue,44 - LICENSES AND PERMITS,44245 - FIRE PERMITS," 	(7,105)"," 	(6,950)"," 	(8,100)"," 	(9,790)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58115 - ID BILLING TO FINANCE," 	(7,072)"," 	(7,072)", 	-   , 	-   
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,43 - CHARGES FOR SERVICES,43510 - PARKS USE CHARGES," 	(6,889)", 	(263), 	-   , 	-   
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS," 	(6,871)"," 	(14,510)"," 	(6,166)"," 	(8,707)"
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,58 - INTER DEPART BILLING,58151 - ID BILLING TO PARKS," 	(6,660)", 	-   , 	-   , 	-   
31 -  POLICE,31200 - POLICE SUPPORT,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(6,568)"," 	(19,557)"," 	(13,019)"," 	(32,857)"
31 -  POLICE,31102 - FIELD GENERAL OVERALL,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING," 	(6,428)"," 	3,100 ", 	-   , 	-   
30 -  FIRE,30250 - FIRE INSPECTION GENERAL,Revenue,43 - CHARGES FOR SERVICES,43415 - INSPECT AND REINSPECT FEES," 	(6,075)"," 	(10,950)"," 	(19,275)"," 	(8,525)"
50 -  LIBRARY,50300758 - LIB COL RES & ACCESS SEQUOYA,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(5,904)"," 	(4,782)"," 	(3,082)"," 	(2,038)"
31 -  POLICE,31130 - NORTH,Expense,52 - BENEFITS,52711 - TUITION," 	(5,548)", 	-   , 	-   , 	-   
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,54 - PURCHASED SERVICES,54410 - STREET IMPROV REPAIR MAINT," 	(5,498)", 	527 , 	(116), 	-   
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58184 - ID BILLING TO STORMWATER," 	(5,388)"," 	(6,756)", 	(821)," 	(6,047)"
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(5,278)"," 	(26,891)"," 	(1,162)", 	(892)
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58151 - ID BILLING TO PARKS," 	(5,246)"," 	(2,597)"," 	(7,854)"," 	(2,606)"
51 -  PARKS,51240 - PARK MTC PARKS MAINTENANCE,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(5,242)", 	-   , 	-   , 	-   
51 -  PARKS,51110 - PARK COM REC ADMIN,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(5,194)"," 	(4,504)"," 	(97,794)"," 	(55,575)"
63 -  ECONOMIC DEVELOPMENT,63110 - EDD ECON REVITALIZATION LOANS,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	(5,185)"," 	(3,078)", 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45205 - TE STLIGHT MAINTENANCE,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(4,654)", 	-   ," 	(20,931)"," 	(20,330)"
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(4,533)"," 	(3,550)"," 	(7,947)"," 	(19,401)"
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58141 - ID BILLING TO FLEET SERVICES," 	(4,469)"," 	(2,093)"," 	(2,540)"," 	(7,645)"
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(4,405)"," 	(11,995)"," 	(2,192)", 	-   
40 -  ENGINEERING,40126 - ENG STREETS FENCE MAINTENANCE,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(4,367)", 	-   , 	-   , 	-   
50 -  LIBRARY,50100753 - LIB PUBLIC SERVICE ASHMAN,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(4,354)", 	(170)," 	(6,170)", 	(445)
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE," 	(4,306)", 	-   , 	-   , 	-   
50 -  LIBRARY,50300757 - LIB COL RES & ACCESS PINNEY,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(4,155)"," 	(2,773)"," 	(2,886)"," 	(2,400)"
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(4,141)", 	-   , 	-   ," 	(23,194)"
50 -  LIBRARY,50300754 - LIB COL RES & ACCESS LAKEVIEW,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(4,064)"," 	(3,347)"," 	(3,253)"," 	(3,634)"
50 -  LIBRARY,50300753 - LIB COL RES & ACCESS ASHMAN,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(3,934)"," 	(2,604)"," 	(2,416)"," 	(2,130)"
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(3,862)"," 	(3,038)"," 	(2,336)"," 	(2,003)"
40 -  ENGINEERING,40126 - ENG STREETS FENCE MAINTENANCE,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(3,794)"," 	(1,566)"," 	(1,000)"," 	(3,631)"
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(3,628)"," 	(2,272)"," 	(1,445)", 	(135)
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER," 	(3,605)"," 	(1,782)", 	-   , 	-   
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(3,591)"," 	(1,364)"," 	(3,803)"," 	(3,338)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58150 - ID BILLING TO LIBRARY," 	(3,537)"," 	(3,537)"," 	(3,537)"," 	(3,537)"
62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(3,464)", 	-   ," 	(21,627)", 	-   
63 -  ECONOMIC DEVELOPMENT,63330 - EDD RE ACQUISITIONS DISPOSALS,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	(3,384)"," 	1,710 "," 	4,467 ", 	290 
50 -  LIBRARY,50400 - LIB FACILITIES,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(3,364)"," 	(1,207)", 	991 ," 	(12,149)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58150 - ID BILLING TO LIBRARY," 	(3,189)", 	-   , 	-   , 	(470)
62 -  COMMUNITY DEVELOPMENT,62112 - HOUSING ASSISTANCE GF,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(3,160)"," 	(1,905)"," 	(22,500)"," 	(45,000)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58160 - ID BILLING TO BUILDING INSPEC," 	(3,023)", 	-   , 	-   ," 	(1,699)"
50 -  LIBRARY,50300759 - LIB COL RES & ACCESS SMB,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(2,979)"," 	(2,172)"," 	(1,800)"," 	(1,214)"
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(2,845)"," 	(3,174)"," 	(9,419)"," 	(1,803)"
16 -  HUMAN RESOURCES,16100 - HR SERVICES,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC," 	(2,816)", 	-   , 	-   , 	-   
65 -  PLANNING,65110 - PL NEIGHBORHOOD PLANNING,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(2,800)", 	-   , 	-   , 	(532)
30 -  FIRE,30110711 - FIRE GEN FIELD OP STATION 11,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	(2,763)", 	-   , 	-   , 	-   
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Revenue,43 - CHARGES FOR SERVICES,43445 - SALE OF RECYCLABLES," 	(2,669)"," 	(1,641)"," 	(3,867)"," 	(3,874)"
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58192 - ID BILLING TO CDA MANAGEMENT," 	(2,668)", 	(490), 	-   , 	(140)
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS," 	(2,616)"," 	(3,062)"," 	(2,545)"," 	(1,034)"
50 -  LIBRARY,50100756 - LIB PUBLIC SERVICE MONROE,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(2,555)", 	(200), 	-   , 	-   
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,43 - CHARGES FOR SERVICES,43531 - LESSONS," 	(2,374)"," 	(5,159)"," 	(3,422)"," 	(2,540)"
40 -  ENGINEERING,40138 - ENG SIDEWALKS PATH MAINT,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(2,326)", 	-   , 	-   , 	-   
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Revenue,43 - CHARGES FOR SERVICES,43110 - REPRODUCTION SERVICES," 	(2,315)"," 	(2,319)"," 	(2,065)"," 	(1,434)"
50 -  LIBRARY,50300 - LIB COL RES & ACCESS,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(2,243)", 	-   , 	-   , 	-   
50 -  LIBRARY,50100752 - LIB PUBLIC SERVICE HAWTHORNE,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(2,186)"," 	(2,000)", 	(900), 	-   
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58141 - ID BILLING TO FLEET SERVICES," 	(2,176)", 	-   , 	-   , 	-   
51 -  PARKS,51242 - PARK MTC WEST PARKS,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(2,175)"," 	(1,906)", 	-   , 	-   
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER," 	(2,160)", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING," 	(2,106)"," 	(2,103)"," 	(3,883)"," 	(5,876)"
50 -  LIBRARY,50100754 - LIB PUBLIC SERVICE LAKEVIEW,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(2,080)", 	(305)," 	(3,468)", 	(136)
50 -  LIBRARY,50300755 - LIB COL RES & ACCESS MEA,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(2,045)"," 	(1,214)"," 	(1,019)", 	(728)
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(2,000)"," 	(2,127)", 	(87)," 	(1,084)"
45 -  TRAFFIC ENGINEERING,45105 - TE SIGNING MAINTENANCE,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(1,974)", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58130 - ID BILLING TO FIRE," 	(1,970)"," 	(3,684)"," 	(1,535)"," 	(1,949)"
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	(1,961)", 	54 ," 	1,860 "," 	1,328 "
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Revenue,43 - CHARGES FOR SERVICES,43430 - TRAFFIC PRIVATE ENTITY," 	(1,946)"," 	(1,157)", 	-   , 	-   
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(1,911)", 	-   , 	-   , 	-   
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(1,834)"," 	(3,438)", 	(219), 	(479)
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE," 	(1,804)", 	-   , 	-   , 	-   
44 -  STREETS,44110521 - ST REFUSE COLLECTION BADG,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	(1,783)", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	(1,768)"," 	(77,689)"," 	(70,349)"," 	48,905 "
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(1,717)", 	(135), 	(818)," 	(1,040)"
16 -  HUMAN RESOURCES,16300 - HR ORGANIZATIONAL & HEALTH DEV,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(1,678)"," 	(8,790)"," 	(9,265)"," 	(8,690)"
50 -  LIBRARY,50300752 - LIB COL RES & ACCESS HAW,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(1,639)"," 	(2,030)"," 	(1,780)"," 	(1,503)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42216 - PAYMENT FOR MUNICIPAL SERVICE," 	(1,608)"," 	(27,400)"," 	(24,140)"," 	(23,230)"
13 -  CLERK,13100 - CLERK,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(1,500)", 	(219)," 	(2,647)", 	-   
50 -  LIBRARY,50300756 - LIB COL RES & ACCESS MONROE,Revenue,43 - CHARGES FOR SERVICES,43565 - LIBRARY COLLECTION FEES," 	(1,430)", 	(114), 	-   , 	-   
44 -  STREETS,44330 - ST SNOW PLOW AND SPREAD,Expense,58 - INTER DEPART BILLING,58145 - ID BILLING TO TRAFFIC ENGINEE," 	(1,425)", 	-   , 	-   , 	-   
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(1,391)"," 	(1,108)"," 	(1,360)", 	(221)
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,58 - INTER DEPART BILLING,58142 - ID BILLING TO LANDFILL," 	(1,319)"," 	(1,126)", 	(741), 	-   
62 -  COMMUNITY DEVELOPMENT,62110 - AFFORDABLE HOUSING GENERAL GL,Revenue,43 - CHARGES FOR SERVICES,43711 - APPLICATION SERVICE FEES," 	(1,300)"," 	(3,400)"," 	(2,390)"," 	(2,700)"
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(1,280)", 	-   ," 	(1,305)", 	-   
44 -  STREETS,44101521 - ST SOLID WASTE ADMIN BADGER,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	(1,262)", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER," 	(1,247)"," 	(1,210)", 	(306)," 	(5,890)"
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(1,171)"," 	(21,011)"," 	(12,223)"," 	(14,534)"
