Incident,Date,Incident Type,Address,Updated
"Six People Rescued From Capsized Boat","06/26/2016","Lake Rescue","4600 Block of Tonyawatha Trail, Madison, WI",""
"Cause Of Vilas Avenue Garage Fire Under Investigation","06/25/2016","Structure","1700 Block Vilas Ave, Madison, WI",""
"Apartment Fire Displaces Three People","06/24/2016","Cooking","2800 Block of Cimarron Trail, Madison, WI",""
"Westbound I-90 Shut Down For Multi-Vehicle Crash","06/24/2016","Vehicle","I90 Westbound, Madison, WI 53718","Updated: 06/24/2016"
"Fire Damages Pressure Washer At East Side Business","06/22/2016","Electrical","3700 Block Lexington Ave, Madison, WI",""
"Firefighters Respond To Crash At Mineral Point and Gammon Pl.","06/22/2016","Vehicle","Mineral Point Rd. / Gammon Pl, Madison, WI",""
"Solar Oven Damaged By Fire On East Side","06/21/2016","Outdoor","5100 Block Starker Ave, Madison, WI",""
"Disconnected Power Line Caused Brief Outage, Road Closure Tuesday","06/21/2016","Electrical","1900 Block E. Mifflin St, Madison, WI",""
"Nobody Injured Or Displaced By Appliance Fire On Wheeler Road","06/17/2016","Appliance","1300 Block Wheeler Road, Madison, WI",""
"Itsy Bitsy Spider Blamed For Alarm Activation","06/17/2016","Alarm Investigation","1600 Block Capital Ave, Madison, WI",""
"Oven Removed From West-Side PDQ Following Small Fire","06/16/2016","Cooking","7700 Block Mineral Point Rd, Madison, WI",""
"Carbon Monoxide Disaster Averted","06/14/2016","Carbon Monoxide","2500 Block of Calypso Rd, Madison, WI",""
"Grill On Downtown Balcony Deemed Unsafe","06/14/2016","Unauthorized Burning","10 Block Bassett Street, Madison, WI",""
"Schoep's Ice Cream Evacuated Due To Ammonia Leak; No Injuries","06/14/2016","Gas Leak","500 Block Division Street, Madison, WI",""
"Firefighters Investigate Outdoor Burning Complaint; Find No Problems","06/12/2016","Outdoor","2100 Block Fremont Ave, Madison, WI",""
"Rollover Crash and Vehicle Fire On Beltline Highway","06/11/2016","Vehicle","Eastbound U.S. Highway 12 / Westbound I-90, Madison, WI",""
"Engine 13 Called For Electrical Arcing Inside Oven","06/10/2016","Electrical","500 Block Aztalan, Madison, WI",""
"Warner Park Porta-Potty Fire Under Investigation","06/09/2016","Outdoor","Warner Park, 2900 block Sherman Ave., Madison, WI",""
"Propane Tank Bursts Into Flames On West Side; Nobody Injured","06/09/2016","Outdoor","5600 Block Research Park Blvd, Madison, WI",""
"Northside Balcony Fire Under Investigation","06/08/2016","Structure","2400 Block Fremont Ave, Madison, WI",""
"Unattended Cooking Fire Displaces One","06/07/2016","Cooking","3100 Block Muir Field Rd, Madison, WI",""
"Driver Transported Following Rollover Crash on Northport","06/07/2016","Vehicle","1400 Block Northport Drive, Madison, WI",""
"Cause Of Southside Shed Fire Undetermined","06/07/2016","Structure","3100 Block Churchill Drive, Madison, WI",""
"Dog Leash Gets Tangled In A Scooter On East Washington","06/06/2016","Assist Citizen","1900 Block E. Washington Ave, Madison, WI",""
"Lake Rescue Team Assists With Kayak Fire On Lake Monona","06/06/2016","Lake Rescue","Lake Monona, Madison, WI",""
"Large Dumpster Fire Dowtown May Have Been Intentional","06/06/2016","Trash/Rubbish","600 Block N. Frances St, Madison, WI",""
"Tupperware Lids Smolder Inside Oven Drawer","06/05/2016","Cooking","2900 Block Curry Parkway, Madison, WI",""
"Driver Pinned Following Early-Morning Beltline Crash","06/04/2016","Vehicle","Westbound Beltline / Park Street, Madison, WI",""
"Firefighters Knock Down Car Fire On Franklin Ave.","06/03/2016","Vehicle","500 Block N. Franklin Ave, Madison, WI",""
"Firefighters Called To Schroeder Road; Intoxicated Cooking To Blame","06/02/2016","Cooking","6800 Block Schroeder Rd, Madison, WI",""
"Discarded Cigarette Starts Small Balcony Fire","06/02/2016","Smoking","Ponwood Circle, Madison, WI",""
"Hotdogs Burn After Cook Falls Asleep","06/02/2016","Cooking","2800 Block Hauk Street, Madison, WI",""
"Firefighters Still on Scene at Recycling Plant Fire","06/01/2016","Structure","1800 Block S. Park Street, Madison, WI","Updated: 06/02/2016"
""
"Automatic Sprinkler System Extinguishes Cooking Fire","06/01/2016","Cooking","5400 Block Congress Ave, Madison, WI",""
"Firefighters, Paramedics Respond To Vehicle Crash Outside Fire Station","05/31/2016","Vehicle","1500 Block Troy Drive, Madison, WI",""
"Firefighters Assist Child Locked In Bathroom","05/31/2016","Assist Citizen","1900 Block S. Thompson Drive, Madison, WI",""
"Baking Stone Left Inside Oven Causes Small Fire","05/29/2016","Appliance","Lilac Lane, Madison, WI",""
"Ladder 1 Responds To Car Fire At Downtown Parking Lot","05/28/2016","Vehicle","300 Block W. Gorham Street, Madison, WI",""
"Windy Day Rustles Up Several Calls To Madison Fire","05/28/2016","Electrical","City of Madison, Madison, WI",""
"Engine 10 Called to Trailsway For Grill Violation","05/28/2016","Outdoor","1500 Block Trailsway, Madison, WI",""
"Running Car Produces Carbon Monoxide In Area Condo","05/28/2016","Carbon Monoxide","Nessling Street, Madison, WI",""
"Rental Car Totalled Following Fire On the Interstate","05/27/2016","Vehicle","I90 Westbound, Madison, WI",""
"Tree Limb Takes Down Power Cable On East Side","05/27/2016","Electrical","Wirth Court, Madison, WI",""
"Electrical Outlet Overheats at Grocery Store","05/27/2016","Excessive heat/scorch","3600 Block University Ave, Madison, WI",""
"Careless Cooking Causes Apartment Fire","05/26/2016","Structure","700 Block Vera Court, Madison, WI",""
"Residential Gas Leak on Mammoth Trail","05/26/2016","Gas Leak","3500 Block Mammoth Trail, Madison, WI",""
"Vehicle Fire on Linden Drive","05/26/2016","Vehicle","1600 Block Linden Dr, Madison, WI",""
"Downed Lines Cause Temporary Power Outage on East Side","05/26/2016","Electrical","2800 Block Commerical Avenue, Madison, WI",""
"Three Transported After Multi-Vehicle Crash on S. Stoughton Rd.","05/25/2016","Vehicle","S. Stoughton Rd. at Buckeye Rd, Madison, WI",""
"Fire Damages Storage Shed","05/25/2016","Structure","3900 Block Milwaukee St, Madison, WI",""
"Two Children Locked in Vehicle","05/25/2016","Assist Citizen","5800 Block Raymond Rd, Madison, WI",""
"Mishandling of Smoking Materials Starts Condo Fire; Smoke Detectors and Pull Stations Were Inoperable","05/25/2016","Structure","1000 Block Rockefeller Lane, Madison, WI",""
"Misuse of Grill Prompts Fire Scare","05/25/2016","Outdoor","7200 Block E Valley Ridge Dr, Madison, WI",""
"CO Alarms Avert Disaster for Family","05/24/2016","Carbon Monoxide","900 Block E. Dayton St, Madison, WI",""
"Child Accidentally Locked in Vehicle","05/24/2016","Assist Citizen","1500 Block Troy Dr, Madison, WI",""
"Small Fire in Median on Packers Avenue","05/23/2016","Outdoor","Packers Ave @ N. Sixth St, Madison, WI",""
"Landscaping Wood Chips Found Smoldering on Park Street","05/23/2016","Outdoor","2200 Block S. Park St, Madison, WI",""
"Downed Wires on Fairview Road","05/23/2016","Electrical","Fairvew Rd/Eagle Crest Dr, Madison, WI",""
"Carbon Monoxide Alarm on Craig Avenue","05/23/2016","Carbon Monoxide","100 Block Craig Ave, Madison, WI",""
"Sunny Day Causes Concern on Monroe Street","05/22/2016","Structure","1800 Block Monroe Street, Madison, WI",""
"Fire Alarm Triggered by High-Heat Cooking","05/22/2016","Smoke Scare","Sauk Ridge Trail, Madison, WI",""
"LP Grill Starts Fire on Deck of Home","05/22/2016","Structure","4400 Block Rigney Lane, Madison, WI",""
"Smoldering Cigarettes Cause Smoke Scare on Junction Road","05/22/2016","Smoke Scare","200 Block Junction Rd, Madison, WI",""
"Spilled Duck Fat Makes for a Slippery Situation on the Square","05/22/2016","Hazmat","100 Block N. Carroll St, Madison, WI",""
"Heat Tape Causes Smoke Scare at Goodman Center","05/22/2016","Smoke Scare","100 Block Waubesa St, Madison, WI",""
"Outdoor Fire at Packers Ave. & International Ln.","05/22/2016","Outdoor","Packers at International, Madison, WI",""
"Burnt Brats Result in Fire Call","05/22/2016","Odor Investigation","4800 Block Camden Rd, Madison, WI",""
"Carbon Monoxide Alarm Causes Building Evacuation Downtown","05/21/2016","Carbon Monoxide","200 Block N. Pinckney St, Madison, WI",""
"Residential Gas Leak on Near East Side","05/19/2016","Gas Leak","Fairmont Ave, Madison, WI",""
"Child Locked in Vehicle","05/19/2016","Assist Citizen","Chapel Hill Rd, Madison, WI",""
"MFD Responds to Gas Line Break","05/19/2016","Gas Leak","Hickory St. @ Spruce St, Madison, WI",""
"Engine 3 Responds To Small Vehicle Fire On East Washington Ave.","05/17/2016","Vehicle","1100 Block E. Washington Ave, Madison, WI",""
"Resident Asked To Put Out Backyard Construction Waste Fire","05/17/2016","Unauthorized Burning","Waubesa Street, Madison, WI",""
"Vehicle Crashes Into East Side Home, Injuring One","05/16/2016","Vehicle","2600 Block Milwaukee Street, Madison, WI",""
"Grease Buildup Causes Small Fire Inside Eagle Heights Oven","05/16/2016","Cooking","800 Block Eagle Heights, Madison, WI",""
"Walk-Up At Station 3 Reports Gasoline Leak On Ingersoll","05/15/2016","Vehicle","300 Block of S. Ingersoll St, Madison, WI",""
"Carbon Monoxide Alarm Alerts Couple To Major Problem Brewing Inside Garage","05/15/2016","Carbon Monoxide","Carrington Dr, Madison, WI",""
"Alarm, Sprinkler Activation At Chuck E. Cheese Reveals Overheated Air Compressor","05/14/2016","Excessive heat/scorch","400 Block Grand Canyon Dr, Madison, WI",""
"Automatic Sprinkler System Extinguishes Fire at YWCA","05/14/2016","Structure","100 Block E. Mifflin Street, Madison, WI 53703",""
"Outdoor Fire Extinguished Due To Ordinance Violations","05/12/2016","Outdoor","3800 Block Tulane Ave, Madison, WI",""
"Firefighters Respond To Cooking Fire On MacArthur Road","05/12/2016","Cooking","1200 Block MacArthur Rd, Madison, WI",""
"Construction Equipment Strikes Gas Line, Causing Leak On Development Site","05/12/2016","Gas Leak","Arbor Mist Pass/Sugar Maple Lane, Madison, WI",""
"Gas Leak Inside Oven Causes Small Fire On North Side","05/11/2016","Gas Leak","300 Block Bunting Ln, Madison, WI",""
"Storage Shed Destroyed By Fire On East Side","05/11/2016","Structure","Gerald Street, Madison, WI",""
"Arcing Reported In Northport PDQ Electrical Outlet","05/10/2016","Electrical","1400 Block Northport Dr, Madison, WI",""
"Engine 8 Called To Dumpster Fire On Webb Ave.","05/08/2016","Trash/Rubbish","Webb Ave. / Rosemary Ave, Madison, WI",""
"Smoke, But No Fire, Seen Coming From Microwave","05/08/2016","Appliance","6200 Block Hammersley Rd, Madison, WI",""
"Backyard Campfire Extinguished On Hillcrest Dr.","05/07/2016","Unauthorized Burning","4300 Block Hillcrest Dr, Madison, WI",""
"Sprinkler Extinguishes Fire at the Radisson Inn","05/06/2016","Structure","Grand Canyon Dr, Madison, WI","Updated: 05/09/2016"
"Caller Sees "Something Alive" In Lake Monona; Lake Rescue Team Called","05/05/2016","Lake Rescue","200 Block E. Lakeside St, Madison, WI",""
"Gas Leak Discovered At East Washington Construction Site","05/04/2016","Gas Leak","East Washington Avenue & Few Street, Madison, WI",""
"Neighbor Feared Picnic Table Was On Fire At Nearby Park","05/03/2016","Cooking","Sauk Creek Park, Madison, WI",""
"One Rescued From Stalled Elevator On Midvale","05/03/2016","Elevator","Midvale Blvd, Madison, WI",""
"Engine 8 Responds To Vehicle Fire On Eastbound Interstate","05/03/2016","Vehicle","I90 Eastbound, Mile marker 139.0, Madison, WI",""
"Unhappy Hotel Guest Pulls Fire Alarm","05/03/2016","Alarm Investigation","Junction Ct, Madison, WI",""
"Charcoal Grill the Source of Carbon Monoxide At West Side Townhouse","05/02/2016","Carbon Monoxide","3200 Block Keswick Dr, Madison, WI",""
"Alarms Sound After Plate Melts Inside Downtown Oven","05/02/2016","Smoke Scare","100 Block S. Hamilton Street, Madison, WI",""
"Nobody Injured After Boat Capsizes On Lake Mendota","05/01/2016","Lake Rescue","Lake Mendota, Madison, WI",""
"Firefighters Give Locked-In Toddler The Keys To Freedom","05/01/2016","Assist Citizen","2400 Block Regent Street, Madison, WI",""
"MFD Hazmat Team Called to Janesville For Chemical Spill","04/29/2016","Hazmat","US Highway 14, Janesville, WI",""
"Alarm Sends Engine 1 To UW-Madison Dormitory","04/29/2016","Alarm Investigation","900 Block University Ave, Madison, WI",""
"Steam From East Side Bakery Mistaken For Smoke","04/28/2016","Smoke Scare","3400 Block of East Washington Ave, Madison, WI",""
"Burned Food Sends Firefighters To Apartment On Hancock St.","04/26/2016","Cooking","100 Block S. Hancock St, Madison, WI",""
"East Side Fire Caused By Discarded Cigarette","04/26/2016","Structure","3300 Block Ridgeway Ave, Madison, WI",""
"VA Hospital Dumpster Fire Extinguished With the Help Of 'Bucket Brigade'","04/26/2016","Trash/Rubbish","2500 Block Overlook Terrace, Madison, WI",""
"West Side Garage Fire Under Investigation","04/26/2016","Structure","6600 Block Berkshire Rd, Madison, WI","Updated: 05/03/2016"
"Ice Cream Maker Serves Up Smoke At East Side McDonald's","04/26/2016","Cooking","4000 Block McDonald's, Madison, WI",""
"Firefighters Respond To Garbage Truck On Fire On Lake Street","04/25/2016","Trash/Rubbish","400 Block N. Lake Street, Madison, WI","Updated: 04/26/2016"
"Cause Of West Side Outdoor Fire Unknown","04/24/2016","Outdoor","6800 Block Colony Dr, Madison, WI",""
"Firefighters Knock Down Dumpster Fire On Stoughton Rd.","04/24/2016","Trash/Rubbish","2500 Block S. Stoughton Rd, Madison, WI",""
"Beachfront Campfire At Giddins Park","04/23/2016","Unauthorized Burning","400 Block Castle Place, Madison, WI",""
"Resident Douses Smoldering Straw Bale At East Side Community Garden","04/23/2016","Outdoor","Hargove St. / Walter St, Madison, WI",""
"Overloaded Laundry Machines Warrant A Visit From Firefighters","04/22/2016","Odor Investigation","10 Block N. Franklin St, Madison, WI",""
"Passerby Concerned About Smoke; Firefighers Find Controlled Burn","04/21/2016","Smoke Scare","Rustling Birch Rd, Madison, WI",""
"No Injuries After Man Loses Control Of Jet Ski in Lake Monona","04/20/2016","Lake Rescue","Lake Monona, Madison, WI",""
"Downtown Resident Grabs Dinner, Comes Home To Firefighters In Backyard","04/18/2016","Unauthorized Burning","600 Block E. Gorham St, Madison, WI",""
"McDonald's On Park Temporarily Shut Down After Smoke Scare","04/18/2016","Appliance","2400 Block S. Park St, Madison, WI",""
"Grass Fire Reported Near Westbound Interstate","04/18/2016","Outdoor","I90 Westbound, Madison, WI",""
"Four People Displaced Following a Kitchen Fire in Apartment","04/17/2016","Cooking","700 Block of Brandie Road, Madison, WI",""
"Discarded Ashes Start Grass Fire On North Side Lawn","04/17/2016","Outdoor","1600 Block Arkansas Ave, Madison, WI",""
"Odana Road Business Heavily Damaged by Smoke","04/15/2016","Structure","6100 Block Odana Road, Madison, WI","Updated: 04/17/2016"
"Two Removed, Transported After SUV Rolls Over On Broom Street","04/14/2016","Vehicle","Broom St. / Johnson St, Madison, WI 53703",""
"Source of Burning Smell On Blount Street Remains A Mystery","04/14/2016","Smoke Scare","400 Block S. Blount St, Madison, WI",""
"Engine 8 Called To Multiple Illegal Fires In East Side Park","04/14/2016","Outdoor","4300 Block Nakoosa Trl, Madison, WI",""
"Lake Rescue Team Assists Stranded Boaters on Lake Mendota","04/14/2016","Lake Rescue","2000 Block University Bay Dr, Madison, WI",""
"INFORMATION: Controlled Burning Of Natural Lawns and Prairies","04/13/2016","Outdoor","Madison, WI",""
"Firefighters Called Twice to Downtown Construction Site","04/12/2016","Structure","500 Block University Ave, Madison, WI",""
"Electrocuted Squirrel Believed To Be Source Of Grass Fire","04/12/2016","Outdoor","Hoepker Rd. / American Parkway, Madison, WI",""
"Grass Fires At County Park Under Investigation","04/12/2016","Outdoor","Rustic Parkway, Madison, WI",""
"Firefighters Called to Upshift Retail Store Following Crash","04/12/2016","Structure","800 Block E. Johnson St, Madison, WI",""
"Fire Department Called to Courthouse For Smell of Smoke","04/12/2016","Trash/Rubbish","200 Block S. Hamilton St, Madison, WI 53703",""
"Shelving Rack Causes Sprinkler Shutdown At East-Side Store","04/10/2016","Alarm Investigation","2400 Block East Springs Dr, Madison, WI",""
"Garage Fire Displaces Two on Thackeray Road, Nobody Injured","04/09/2016","Structure","1900 Block Thackeray Rd, Madison, WI",""
"Vehicle Rolls Over On Icy Roads Near MATC Saturday","04/09/2016","Vehicle","Anderson Rd. / Pearson St, Madison, WI",""
"Four Transported Following Crash On Zeier Rd.","04/08/2016","Vehicle","2100 Block Zeier Rd, Madison, WI",""
"Firefighters Investigate Possible Use Of Fireworks at Door Creek Park","04/08/2016","Fireworks","Door Creek Park, Madison, WI",""
"Trash Can Fire Reported At Downtown Intersection","04/07/2016","Trash/Rubbish","E. Doty St. / MLK Blvd, Madison, WI",""
"Hazmat Team Assists Oregon Fire/EMS With Mysterious Carbon Monoxide Leak","04/06/2016","Carbon Monoxide","Raquel Cr, Oregon, WI",""
"Furnace The Source Of Carbon Monoxide Leak","04/06/2016","Carbon Monoxide","Craig Ave, Madison, WI",""
"MFD Called To Crash On John Nolen Dr.","04/05/2016","Vehicle","John Nolen Dr. / North Shore Dr, Madison, WI",""
"Laundromat Operations Unaffected By Small Electrical Fire","04/04/2016","Electrical","300 Block S. Brearly St, Madison, WI",""
"Firefighters Called To Fire At Cheesecake Factory","04/04/2016","Trash/Rubbish","10 Block West Towne Mall, Madison, WI",""
"Firefighters Put A Stop To Yard Waste Burning On West Side","04/04/2016","Outdoor","5700 Block Hammersley Rd, Madison, WI",""
"Firefighters Extinguish Uncontrolled Fire In Sycamore Park","04/04/2016","Unauthorized Burning","4300 Block Nakoosa Trail, Madison, WI",""
"Outdoor Fire Deemed Safe and Legal On East Side","04/03/2016","Outdoor","Violet Lane, Madison, WI",""
"Group of 20 Rescued From Downtown Elevator","04/03/2016","Elevator","400 Block N. Frances St, Madison, WI",""
"Driver Alerted To Fire Brewing Under Vehicle's Hood","04/01/2016","Vehicle","Raymond Rd. & Whitney Way, Madison, WI",""
"Engine 8 Called To Vehicle Fire On Interstate","04/01/2016","Vehicle","Westbound I-90, Madison, WI",""
"Smoke Seeps Through Tunnel, Activates Alarms At Two Campus Buildings","03/31/2016","Smoke Scare","1500 Block Engineering Dr, Madison, WI",""
"Electric Teapot Melts, Ignites On Downtown Stovetop","03/31/2016","Cooking","500 Block W. Main St, Madison, WI",""
"Cork Potholder Burns Up In Downtown Kitchen","03/31/2016","Cooking","500 Block N. Frances St, Madison, WI",""
"Nobody Injured In Downtown Cooking Fire","03/30/2016","Cooking","500 Block W. Dayton St, Madison, WI",""
"West Side Vehicle Fire Under Investigation","03/30/2016","Vehicle","Burberry Dr, Madison, WI",""
"One Rescued From Campus Elevator","03/29/2016","Elevator","600 Block W. Johnson St, Madison, WI",""
"Ladder 7 Called For Burning Tree Stump at Prairie Ridge Park","03/28/2016","Outdoor","Interlaken Pass / Lindemann Trl, Madison, WI",""
"Construction Work Causes Carbon Monoxide Buildup On East Side","03/28/2016","Carbon Monoxide","1600 Block Mendota St, Madison, WI",""
"Light Fixture Fire Extinguished At Grand Teton Plaza","03/28/2016","Structure","6500 Block Grand Teton Plaza, Madison, WI",""
"Firefighters Help Homeowner with Fireplace After Smoke Fills Living Room","03/26/2016","Chimney","Toribrooke Ln, Madison, WI",""
"Firefighters Respond After Girl Scout Cookies Burn Inside Oven","03/26/2016","Cooking","300 Block W. Dayton St, Madison, WI",""
"Hazmat Team Identifies Powder Found Outside West Side School","03/26/2016","Hazmat","6600 Block Inner Dr, Madison, WI",""
"Madison Fire Dept. Receives Multiple Outdoor Burning Complaints","03/26/2016","Outdoor","Madison, WI",""
"Smoke Smell Traced To Light Switch","03/26/2016","Electrical","Sussex Ln, Madison, WI",""
"Firefighters Investigate Chemical Smell on Blossom Lane","03/24/2016","Hazmat","Blossom Ln, Madison, WI",""
"Engine 3 Investigates Alarm Activation At Constellation Apts.","03/23/2016","Cooking","N. Livingston St, Madison, WI",""
"Smoke Reported Inside East Towne-Area Restaurant","03/23/2016","Electrical","4200 Block East Towne Blvd, Madison, WI",""
"Kitchen Fire in Apartment on East Side Displaces Residents","03/22/2016","Structure","900 Block Vernon Avenue, Madison, WI 53714","Updated: 03/30/2016"
"Firefighters Called For Yard Waste Burning; Residents Encouraged To Use City Service","03/22/2016","Outdoor","3800 Block Manitou Way, Madison, WI",""
"Engine 4 Responds to Car Fire On Monroe Street","03/22/2016","Vehicle","2400 Block Monroe St, Madison, WI",""
"Engine 10 Called to Dumpster Fire On Northport Drive","03/21/2016","Trash/Rubbish","2000 Block Northport Dr, Madison, WI",""
"Broiler Bumped, But No Gas Leak, At Capitol Lakes Retirement Community","03/21/2016","Gas Leak","300 Block W. Main St, Madison, WI",""
"Firefighters Called To Merchant Restaurant After Sparks, Smoke Seen","03/21/2016","Smoke Scare","100 Block S. Pinckney St, Madison, WI",""
"Cooking Fire Damages Raymond Road Kitchen","03/21/2016","Cooking","6500 Block Raymond Rd, Madison, WI",""
"Firefighters Knock Down Car Fire On Troy Drive","03/21/2016","Vehicle","300 Block Troy Dr, Madison, WI",""
"5 Transported After Multi-Vehicle Crash","03/19/2016","Vehicle","Packers Ave/Commerical Ave, Madison, WI",""
"Firefighters Find Fire Hazards Amid Large Party On West Side","03/19/2016","Unauthorized Burning","2200 Block Rosenberry Rd, Madison, WI",""
"Passing Truck Strikes Cable Lines, Affecting Charter Customers","03/19/2016","Electrical","Highway 12 Eastbound at Whitney Way, Madison, WI",""
"Kitchen Fire Displaces Family on Yorktown Cir","03/18/2016","Cooking","Yorktown Circle, Madison, WI",""
"Three Rescued From Elevator at Downtown Hotel","03/18/2016","Elevator","500 Block W. Johnson St, Madison, WI",""
"Soiled Rags Smolder Inside Food Manufacturing Company On Femrite Dr.","03/18/2016","Trash/Rubbish","5200 Block Femrite Dr, Madison, WI",""
"Die Cast Machine Catches Fire At Kipp Corporation","03/17/2016","Electrical","100 Block S. Fair Oaks Ave, Madison, WI",""
"Firefighters Respond to Williamson Street Art Center for Fire","03/17/2016","Structure","1000 Block Williamson St, Madison, WI","Updated: 03/30/2016"
"Tree Strikes School Bus On Old Sauk Road; Nobody Injured","03/17/2016","Vehicle","5900 Block Old Sauk Rd, Madison, WI",""
"Firefighters Called After Resident Overcooks St. Patrick's Day Meal","03/17/2016","Cooking","1100 Block Morraine View Dr, Madison, WI",""
"Discarded Cigarette Starts Small Fire Outside DOT Building","03/17/2016","Trash/Rubbish","4800 Block Sheboygan Ave, Madison, WI",""
"Firefighters Assist Locked-Out Downtown Resident","03/16/2016","Assist Citizen","10 Block E. Gorham St, Madison, WI",""
"High Winds Topple Tree On Cross Street","03/16/2016","Outdoor","3500 Block Cross St, Madison, WI",""
"Windy Wednesday: A Round-Up Of MFD's Calls For Service","03/16/2016","Outdoor","Madison, WI",""
"Sounding Smoke Alarm Found In Dumpster","03/15/2016","Alarm Investigation","200 Block Kennedy Heights, Madison, WI",""
"Engine 4 Responds To Gasoline Spill","03/14/2016","Vehicle","2100 Block Chardbourne Ave, Madison, WI",""
"Self-Cleaning Oven Stirs Up Smoke Scare On Vera Court","03/14/2016","Appliance","600 Block Vera Ct, Madison, WI",""
"Two-Alarm Stewart Street Fire Under Investigation","03/14/2016","Structure","800 Block Stewart St, Madison, WI","Updated: 03/17/2016"
"Basement Smoke Caused By Overloaded Wash Machine","03/13/2016","Appliance","1100 Block Moorland Rd, Madison, WI",""
"Firefighters Called For Electrical Pole On Fire; One Injured","03/13/2016","Electrical","2700 Block McDivitt Rd, Madison, WI",""
"Kitchen Fire Extinguished in High Rise Apartment","03/11/2016","Cooking","600 Block Sawyer Terrace, Madison, WI",""
""Barbecue Smell" Hints At Dumpster Fire Behind Southwestern Food Business","03/10/2016","Outdoor","5200 Block Femrite Dr, Madison, WI",""
"Six Displaced Following Fire On Mayfair Ave.","03/10/2016","Structure","800 Block Mayfair Ave, Madison, WI","Updated: 03/11/2016"
"Dog Rescued After Falling Through Thin Ice at Warner Park Dog Park","03/09/2016","Lake Rescue","2200 Block Sheridan Dr, Madison, WI 53704",""
"Water Leak At Northside Care Facility","03/09/2016","Structure","300 Block Knutson Dr, Madison, WI",""
"One Person Transported After Crashing Car Through Home","03/09/2016","Vehicle","4700 Block Ames St, Madison, WI",""
"Alarm Sends Firefighters To Institute for Medical Research","03/07/2016","Structure","1100 Block Highland Ave, Madison, WI",""
"Neighbors Report Power Outage After Car Strikes Utility Box","03/05/2016","Vehicle","4600 Block Stein Ave, Madison, WI",""
"West Side Trash Can Fire Under Investigation","03/04/2016","Structure","6700 Block Schroeder Rd, Madison, WI",""
"Home Ventilated After Carbon Monoxide Detected In Basement","03/02/2016","Carbon Monoxide","3200 Block Gregory St, Madison, WI",""
"Homeowner Returns To Find Bread On Fire","03/02/2016","Cooking","Ridgeview Ct, Madison, WI",""
"Two Asleep As Smoke Fills Southside Apartment","03/01/2016","Cooking","Magnolia Ln, Madison, WI",""
"SUV Strikes Building On West Side, Nobody Injured","03/01/2016","Vehicle","1500 Block McKenna Blvd, Madison, WI",""
"Engine 12 Investigates "Electrical Burning Smell"","02/29/2016","Electrical","1600 Block Hidden Hill, Madison, WI",""
"MFD Breaks Up Bonfire On Lake Monona","02/27/2016","Outdoor","E. Wilson St, Madison, WI",""
"Lake Rescue Team Called To Lake Monona","02/27/2016","Special Rescue","Lake Monona, Madison, WI",""
"Woman Drops Keys In Sewer, Engine Company 3 Goes Fishing","02/26/2016","Outdoor","1300 Block E. Washington Ave, Madison, WI",""
"Firefighters Catch Active Fire Threat Early Thanks To Automatic Alarm","02/26/2016","Structure","Madison, WI",""
"Witness Alerts Driver To Impending Vehicle Fire","02/26/2016","Vehicle","7100 Block Flower Ln, Madison, WI",""
"Nobody Home As Dumplings Burn On Stovetop","02/26/2016","Excessive heat/scorch","600 Block Vera Ct, Madison, WI",""
"Alert Neighbor Reports Fire Brewing Inside Shorewood Hills Home","02/25/2016","Structure","3500 Block Blackhawk Dr, Madison, WI","Updated: 03/04/2016"
"Dryer Removed After Underwear Goes Up In Smoke","02/24/2016","Appliance","Yuma Dr, Madison, WI",""
"Flue Fire Put Out With "Chimney Bombs"","02/24/2016","Structure","2200 Block Aspen Rd, Madison, WI",""
"Plastic Bag Heats Up On Tailpipe of Badger Bus","02/24/2016","Vehicle","Thurston Ln. / Rosenberry Rd, Madison, WI",""
"Abandoned Motorcycle Found Amid Embers in Owen Park","02/24/2016","Vehicle","Jetty Dr. / Ozark Trail, Madison, WI",""
"Firefighters Search For Gas Leak On Langdon, Find Smoke Instead","02/23/2016","Structure","200 Block Langdon St, Madison, WI",""
"Car Fire on Portage Rd.","02/23/2016","Vehicle","2100 Block of Portage Road, Madison, WI",""
"Olive Oil Ignites After Cook Steps Away From Kitchen","02/23/2016","Cooking","2100 Block E. Washington Ave, Madison, WI",""
"Semi Driver Advised To Pull Over When Tire Catches Fire","02/22/2016","Vehicle","USH 12 Westbound at S. Park Street, Madison, WI",""
"Working Detector Alerts Family To Carbon Monoxide In Home","02/22/2016","Carbon Monoxide","3000 Block Manchester Rd, Madison, WI",""
"One Rescued From Lake Wingra After Passerby Hears Cries For Help","02/21/2016","Lake Rescue","N. Wingra Dr. / S. Mills St, Madison, WI",""
"Firefighters Attempt To Reach Patient As Van Crashes Into Ambulance","02/21/2016","Vehicle","E. Main St. / S. Butler St, Madison, WI",""
"Firefighters Douse Vehicle With 100 Gallons Of Water Following Alleged Arson Attempt","02/21/2016","Vehicle","2000 Block Packers Ave, Madison, WI",""
"Hazmat Team Sent To Watertown After Multiple Churchgoers Become Ill","02/21/2016","Hazmat","300 Block N. Sixth, Watertown, WI",""
"Neighbor Finds Moped On Fire In Backyard Burning Pit","02/21/2016","Vehicle","500 Block W. Mifflin St, Madison, WI",""
"Two Rescued From Campus Elevator","02/19/2016","Elevator","1500 Block Engineering Dr, Madison, WI",""
"Lamp Pole Starts On Fire Outside UW Residence Hall","02/18/2016","Outdoor","600 Block Elm Dr, Madison, WI",""
